   ... feec39b2-0974-4a5a-8fb6-89dedc8d7df9           energy num_oc. ...
28 ...                                  1.0 -12886503.277911       1 ...
33 ...                                  2.0 -12689969.857434       1 ...
23 ...                                  1.0 -12617214.943709       1 ...
27 ...                                  1.0 -12482706.069087       1 ...
18 ...                                  4.0 -12446325.464369       1 ...
25 ...                                  1.0 -12409144.688088       1 ...
26 ...                                  0.0 -12349712.403178       1 ...
16 ...                                  5.0 -12345061.123756       1 ...
21 ...                                  4.0 -12339882.945229       1 ...
7  ...                                  4.0 -12313695.784082       1 ...
24 ...                                  4.0 -12312131.138288       1 ...
20 ...                                  0.0 -12235746.036327       1 ...
17 ...                                  1.0 -12141425.754418       1 ...
29 ...                                  5.0 -11981245.720986       1 ...
22 ...                                  1.0 -11969802.442162       1 ...
19 ...                                  1.0 -11877645.203908       1 ...
32 ...                                  0.0 -11829335.470932       1 ...
31 ...                                  3.0 -11771484.136916       1 ...
30 ...                                  3.0 -11749153.463275       1 ...
15 ...                                  2.0 -11677850.022094       1 ...
8  ...                                  5.0 -11657158.430336       1 ...
14 ...                                  1.0 -11638477.895319       1 ...
9  ...                                  1.0  -11494099.75141       1 ...
6  ...                                  0.0  -11466385.31071       1 ...
0  ...                                  0.0 -11427685.373558       1 ...
13 ...                                  4.0 -11366080.880156       1 ...
1  ...                                  5.0 -11321666.109443       1 ...
3  ...                                  3.0 -11265291.330944       1 ...
12 ...                                  8.0 -11088154.731863       1 ...
4  ...                                  0.0 -11024151.802434       1 ...
5  ...                                  1.0   -10961331.5373       1 ...
11 ...                                  5.0 -10874999.022217       1 ...
2  ...                                  2.0 -10407346.061481       1 ...
10 ...                                  5.0 -10301998.217599       1 ...
['INTEGER', 34 rows, 34 samples, 1002 variables]
