   ... f9996e83-34e5-4884-9bf8-1b8dfd97d8ff     energy num_oc. ... is_fea.
23 ...                                  0.0  -48.65365       1 ...    True
18 ...                                  0.0  -46.98299       1 ...    True
17 ...                                  0.0 -45.325066       1 ...    True
6  ...                                  0.0 -45.325066       1 ...    True
31 ...                                  0.0 -45.325066       1 ...    True
29 ...                                  0.0 -45.256624       1 ...    True
30 ...                                  0.0  -43.62667       1 ...    True
14 ...                                  0.0 -42.767534       1 ...    True
4  ...                                  0.0 -42.767534       1 ...    True
19 ...                                  0.0 -42.332972       1 ...    True
16 ...                                  0.0 -40.737507       1 ...    True
11 ...                                  0.0  -40.38127       1 ...    True
20 ...                                  0.0 -39.822687       1 ...    True
28 ...                                  0.0 -39.626051       1 ...    True
35 ...                                  0.0  -38.68129       1 ...    True
36 ...                                  1.0 -38.639054       1 ...    True
25 ...                                  0.0 -38.062157       1 ...    True
12 ...                                  0.0 -37.864857       1 ...    True
10 ...                                  0.0 -37.510883       1 ...    True
0  ...                                  0.0 -37.510883       1 ...    True
34 ...                                  0.0 -37.221226       1 ...    True
21 ...                                  0.0 -36.739076       1 ...    True
7  ...                                  1.0 -36.690343       1 ...    True
1  ...                                  0.0 -36.674649       1 ...    True
39 ...                                  0.0 -36.300774       1 ...    True
32 ...                                  0.0 -35.326362       1 ...    True
38 ...                                  0.0 -32.770736       1 ...    True
37 ...                                  0.0 -32.458483       1 ...    True
26 ...                                  0.0  -32.35957       1 ...    True
13 ...                                  0.0 -32.059641       1 ...    True
3  ...                                  0.0 -32.059641       1 ...    True
24 ...                                  0.0 -32.059641       1 ...    True
22 ...                                  0.0 -31.684972       1 ...    True
15 ...                                  0.0 -31.311496       1 ...    True
5  ...                                  0.0 -31.311496       1 ...    True
33 ...                                  0.0 -31.271312       1 ...    True
9  ...                                  0.0 -31.065422       1 ...    True
2  ...                                  0.0 -30.348893       1 ...    True
27 ...                                  0.0 -30.137054       1 ...    True
8  ...                                  0.0 -24.500909       1 ...    True
['INTEGER', 40 rows, 40 samples, 150 variables]
