   ... ecd64da0-e52e-4d9e-ae04-8a691e499c65          energy num_oc. ... is_fea.
18 ...                                  0.0 -1505428.597899       1 ...    True
20 ...                                  0.0 -1505428.597899       1 ...    True
10 ...                                  0.0 -1505428.597899       1 ...    True
14 ...                                  0.0 -1505428.597899       1 ...    True
22 ...                                  0.0 -1505428.597899       1 ...    True
12 ...                                  0.0 -1505428.597899       1 ...    True
1  ...                                  0.0 -1505428.597899       1 ...    True
3  ...                                  0.0 -1505428.597899       1 ...    True
5  ...                                  0.0 -1505428.597899       1 ...    True
7  ...                                  0.0 -1505428.597899       1 ...    True
8  ...                                  0.0 -1505428.597899       1 ...    True
23 ...                                  0.0 -1505428.597899       1 ...    True
24 ...                                  0.0 -1505428.597899       1 ...    True
25 ...                                  0.0 -1505428.597899       1 ...    True
26 ...                                  0.0 -1505428.597899       1 ...    True
27 ...                                  0.0 -1505428.597899       1 ...    True
29 ...                                  0.0 -1505428.597899       1 ...    True
33 ...                                  0.0 -1505428.597899       1 ...    True
34 ...                                  0.0 -1505428.597899       1 ...    True
36 ...                                  0.0 -1505428.597899       1 ...    True
37 ...                                  0.0 -1505428.597899       1 ...    True
38 ...                                  0.0 -1505428.597899       1 ...    True
40 ...                                  0.0 -1505428.597899       1 ...    True
17 ...                                  0.0 -1442634.446311       1 ...    True
9  ...                                  0.0  -339945.223408       1 ...    True
0  ...                                  0.0  -339945.223408       1 ...    True
28 ...                                  0.0  -339945.223408       1 ...    True
30 ...                                  0.0  -339945.223408       1 ...    True
31 ...                                  0.0  -339945.223408       1 ...    True
35 ...                                  0.0  -339945.223408       1 ...    True
21 ...                                  0.0  -222183.523315       1 ...    True
13 ...                                  0.0  -210288.137856       1 ...    True
41 ...                                  0.0  -210288.137856       1 ...    True
11 ...                                  0.0   -208340.21031       1 ...    True
2  ...                                  0.0   -208340.21031       1 ...    True
39 ...                                  0.0   -208340.21031       1 ...    True
16 ...                                  0.0  -176883.427144       1 ...    True
19 ...                                  0.0  -166156.042003       1 ...    True
6  ...                                  0.0  -166156.042003       1 ...    True
15 ...                                  0.0  -151454.405468       1 ...    True
4  ...                                  0.0  -151454.405468       1 ...    True
32 ...                                  0.0  -151454.405468       1 ...    True
['INTEGER', 42 rows, 42 samples, 150 variables]
