   ... f7a27d6a-627d-4845-81ad-bc104341516e         energy num_oc. ... is_fea.
0  ...                                  0.0 -170924.480474       1 ...    True
4  ...                                  0.0 -170924.480474       1 ...    True
18 ...                                  0.0 -170924.480474       1 ...    True
27 ...                                  0.0 -170924.480474       1 ...    True
12 ...                                  0.0 -153867.489446       1 ...    True
3  ...                                  0.0 -153867.489446       1 ...    True
23 ...                                  0.0 -153867.489446       1 ...    True
10 ...                                  0.0 -128838.133534       1 ...    True
17 ...                                  0.0 -106156.837927       1 ...    True
13 ...                                  1.0  -105305.92605       1 ...    True
20 ...                                  1.0  -105305.92605       1 ...    True
25 ...                                  1.0  -105305.92605       1 ...    True
11 ...                                  0.0 -104801.847565       1 ...    True
2  ...                                  0.0 -104801.847565       1 ...    True
19 ...                                  0.0 -104801.847565       1 ...    True
21 ...                                  0.0 -104801.847565       1 ...    True
26 ...                                  0.0  -98419.856448       1 ...    True
5  ...                                  0.0  -93924.922725       1 ...    True
22 ...                                  0.0  -82648.291359       1 ...    True
8  ...                                  0.0  -60580.362384       1 ...    True
16 ...                                  0.0  -60580.362384       1 ...    True
6  ...                                  0.0   -58795.89604       1 ...    True
9  ...                                  0.0  -28980.672077       1 ...    True
15 ...                                  0.0  -28980.672077       1 ...    True
1  ...                                  0.0  -11940.542469       1 ...    True
7  ...                                  0.0  -11940.542469       1 ...    True
14 ...                                  0.0  -11940.542469       1 ...    True
24 ...                                  0.0  -11940.542469       1 ...    True
['INTEGER', 28 rows, 28 samples, 150 variables]
