   ... fc559c94-f98d-4016-84c9-d94de06d3294         energy num_oc. ... is_fea.
4  ...                                  0.0 -124479.588828       1 ...    True
17 ...                                  0.0 -124479.588828       1 ...    True
18 ...                                  0.0 -124479.588828       1 ...    True
19 ...                                  0.0 -124479.588828       1 ...    True
22 ...                                  0.0 -124479.588828       1 ...    True
24 ...                                  0.0 -124479.588828       1 ...    True
35 ...                                  0.0 -124479.588828       1 ...    True
32 ...                                  0.0 -118699.649283       1 ...    True
34 ...                                  0.0 -118699.649283       1 ...    True
5  ...                                  0.0  -94324.258122       1 ...    True
21 ...                                  0.0  -94324.258122       1 ...    True
13 ...                                  0.0   -80936.72836       1 ...    True
25 ...                                  0.0   -80936.72836       1 ...    True
12 ...                                  0.0  -78877.664976       1 ...    True
33 ...                                  0.0  -78877.664976       1 ...    True
30 ...                                  0.0  -74244.107856       1 ...    True
8  ...                                  0.0  -73539.763312       1 ...    True
1  ...                                  0.0  -73539.763312       1 ...    True
31 ...                                  0.0  -73539.763312       1 ...    True
6  ...                                  0.0  -65708.143224       1 ...    True
10 ...                                  0.0  -58809.220322       1 ...    True
2  ...                                  0.0  -58809.220322       1 ...    True
23 ...                                  0.0  -58809.220322       1 ...    True
27 ...                                  0.0  -58809.220322       1 ...    True
29 ...                                  0.0  -58809.220322       1 ...    True
7  ...                                  0.0  -52650.290646       1 ...    True
0  ...                                  0.0  -52650.290646       1 ...    True
20 ...                                  0.0  -52650.290646       1 ...    True
15 ...                                  0.0  -45301.198956       1 ...    True
9  ...                                  0.0   -43568.78364       1 ...    True
11 ...                                  0.0  -27130.394992       1 ...    True
28 ...                                  0.0  -27130.394992       1 ...    True
14 ...                                  0.0  -25140.442081       1 ...    True
3  ...                                  0.0  -25140.442081       1 ...    True
26 ...                                  0.0  -25140.442081       1 ...    True
16 ...                                  0.0  -16976.842448       1 ...    True
['INTEGER', 36 rows, 36 samples, 150 variables]
