   ... f10de6d5-6991-42bd-8b1b-8502a115dc46         energy num_oc. ... is_fea.
12 ...                                  0.0 -141478.478069       1 ...    True
4  ...                                  0.0 -141478.478069       1 ...    True
17 ...                                  0.0 -141478.478069       1 ...    True
21 ...                                  0.0 -141478.478069       1 ...    True
22 ...                                  0.0 -141478.478069       1 ...    True
23 ...                                  0.0 -141478.478069       1 ...    True
11 ...                                  0.0  -96921.162258       1 ...    True
3  ...                                  0.0  -96921.162258       1 ...    True
19 ...                                  0.0  -96921.162258       1 ...    True
16 ...                                  0.0  -90037.944351       1 ...    True
30 ...                                  0.0  -90037.944351       1 ...    True
0  ...                                  0.0  -89889.153956       1 ...    True
6  ...                                  0.0  -89889.153956       1 ...    True
25 ...                                  0.0  -89889.153956       1 ...    True
9  ...                                  0.0  -86325.239085       1 ...    True
10 ...                                  0.0  -74585.573651       1 ...    True
2  ...                                  0.0  -74585.573651       1 ...    True
18 ...                                  0.0  -74585.573651       1 ...    True
20 ...                                  0.0  -54903.320742       1 ...    True
8  ...                                 12.0   -50468.40171       1 ...    True
14 ...                                 12.0   -50468.40171       1 ...    True
27 ...                                 12.0   -50468.40171       1 ...    True
13 ...                                  6.0  -36925.028671       1 ...    True
5  ...                                  6.0  -36925.028671       1 ...    True
26 ...                                  6.0  -36925.028671       1 ...    True
29 ...                                  6.0  -36925.028671       1 ...    True
7  ...                                  0.0  -35271.880644       1 ...    True
1  ...                                  0.0  -35271.880644       1 ...    True
15 ...                                  0.0  -35271.880644       1 ...    True
24 ...                                  0.0  -35271.880644       1 ...    True
28 ...                                  0.0  -35271.880644       1 ...    True
['INTEGER', 31 rows, 31 samples, 150 variables]
