   ... f8d8ab49-1304-44b1-9e08-5b1690a761a5           energy num_oc. ...
22 ...                                 15.0 -100572050.97151       1 ...
35 ...                                 11.0 -99297954.131623       1 ...
7  ...                                 11.0 -97071912.126334       1 ...
37 ...                                 56.0 -71827961.124919       1 ...
24 ...                                100.0 -69397765.684518       1 ...
9  ...                                 14.0 -69198868.596143       1 ...
25 ...                                 26.0 -68700503.767786       1 ...
42 ...                                 56.0 -68013823.266167       1 ...
14 ...                                 56.0 -65998449.029199       1 ...
1  ...                                 56.0 -65987429.438006       1 ...
20 ...                                 15.0 -58981726.642886       1 ...
13 ...                                 18.0 -57117500.503566       1 ...
31 ...                                 15.0 -46269297.671513       1 ...
29 ...                                 49.0 -41959546.417186       1 ...
6  ...                                100.0 -40963644.988381       1 ...
4  ...                                  0.0 -40628931.674903       1 ...
41 ...                                 18.0 -40571440.825981       1 ...
33 ...                                 18.0 -39909606.619109       1 ...
27 ...                                 96.0 -39820797.104378       1 ...
38 ...                                 15.0 -39318937.370502       1 ...
34 ...                                 14.0 -38771197.840738       1 ...
5  ...                                 49.0 -35840317.072961       1 ...
39 ...                                  0.0  -34278464.59394       1 ...
21 ...                                 16.0 -32762604.928143       1 ...
32 ...                                 43.0 -31515358.445466       1 ...
36 ...                                 43.0 -30161211.446144       1 ...
8  ...                                 43.0 -29970015.214915       1 ...
0  ...                                 25.0 -29141999.170328       1 ...
30 ...                                 33.0  -28455804.60433       1 ...
3  ...                                 15.0 -27868350.498394       1 ...
19 ...                                 20.0 -25920955.629156       1 ...
12 ...                                 12.0 -25805194.718944       1 ...
40 ...                                 33.0 -25164909.715507       1 ...
18 ...                                 39.0 -24952153.498082       1 ...
16 ...                                 78.0  -24915469.85113       1 ...
17 ...                                 50.0 -24897789.350639       1 ...
11 ...                                 20.0 -24527578.083563       1 ...
15 ...                                  0.0 -24193586.626606       1 ...
28 ...                                 39.0 -24085192.675299       1 ...
23 ...                                 26.0 -23943009.444422       1 ...
26 ...                                 56.0 -22262994.135329       1 ...
2  ...                                 96.0 -21127325.868953       1 ...
10 ...                                 33.0 -19960363.798924       1 ...
['INTEGER', 43 rows, 43 samples, 150 variables]
