   ... ff57daef-1f55-41f1-8030-79df8b53e6af         energy num_oc. ... is_fea.
8  ...                                  0.0 -277988.107134       1 ...    True
0  ...                                  0.0 -277988.107134       1 ...    True
25 ...                                  0.0 -277988.107134       1 ...    True
17 ...                                  0.0 -124677.401585       1 ...    True
24 ...                                  0.0 -124677.401585       1 ...    True
33 ...                                  0.0 -124677.401585       1 ...    True
5  ...                                  0.0 -124677.401585       1 ...    True
9  ...                                  0.0 -114123.648108       1 ...    True
19 ...                                  0.0 -114123.648108       1 ...    True
14 ...                                  0.0  -99237.374553       1 ...    True
31 ...                                  0.0  -99237.374553       1 ...    True
37 ...                                  0.0  -99237.374553       1 ...    True
38 ...                                  0.0  -99237.374553       1 ...    True
30 ...                                  0.0  -66408.606445       1 ...    True
13 ...                                  0.0  -66152.782039       1 ...    True
3  ...                                  0.0  -66152.782039       1 ...    True
21 ...                                  0.0  -66152.782039       1 ...    True
29 ...                                  0.0  -66152.782039       1 ...    True
20 ...                                  0.0  -60962.480205       1 ...    True
16 ...                                  0.0  -58714.805851       1 ...    True
28 ...                                  0.0  -58714.805851       1 ...    True
15 ...                                  0.0   -57411.12689       1 ...    True
4  ...                                  0.0   -57411.12689       1 ...    True
26 ...                                  0.0   -57411.12689       1 ...    True
32 ...                                  0.0   -57411.12689       1 ...    True
35 ...                                  0.0   -57411.12689       1 ...    True
1  ...                                  0.0  -54741.485644       1 ...    True
10 ...                                  0.0  -54741.485644       1 ...    True
27 ...                                  0.0  -54741.485644       1 ...    True
7  ...                                  0.0  -50544.827323       1 ...    True
22 ...                                  0.0  -50544.827323       1 ...    True
12 ...                                  0.0  -48256.393178       1 ...    True
11 ...                                  0.0  -45196.828653       1 ...    True
2  ...                                  0.0  -45196.828653       1 ...    True
23 ...                                  0.0  -45196.828653       1 ...    True
34 ...                                  0.0  -43737.977091       1 ...    True
6  ...                                  0.0  -41499.206782       1 ...    True
18 ...                                  0.0  -41499.206782       1 ...    True
36 ...                                  0.0  -41499.206782       1 ...    True
['INTEGER', 39 rows, 39 samples, 300 variables]
